,f04359f2-5f54-4fbd-8c2b-3630e5f0bbeb,ed505386-a72e-4f8d-8eb9-f3332568c10e,4ee2c93b-660f-416f-a352-c8e9ab77fafd,51814a38-7a25-4a0e-8836-8874b783468f,45a10839-4814-4c45-9b47-7450f91bec80,0cccbfdf-c4b5-4080-8824-8a2c76809def,25e1cc1f-8df2-4a45-939a-48767cec2c19,0ceab198-b54c-4a2f-9482-574eaaaae3dc,54e09481-75b7-4677-a361-1b9770517c2a,0d7669a0-08c3-486d-872a-56c8abcc59f4,15094fa4-17d8-4119-aa85-b19368630e3b,dc9aafba-f824-4a6a-8bc9-541eced8f4d8,c3afd687-0301-4c93-97a3-1a340b83c8da,5c460ee2-6a8d-4289-a670-b03ce1236f04,4e491aef-ff86-4c5a-9542-00a23848f7d5,8a6a9b07-09fd-44b6-acd7-a586fd215005,2d93b702-ba67-4159-b837-5f01a19b8eae,9405f407-0e2b-4b06-ba09-21b90e987116,c8c36597-6777-426f-bef7-97e2aff61709,cb1f4794-571b-4151-9599-822d1d1e00f5,ad2f45c4-23c6-406c-ba40-915e819207b3,11f49d45-cc2b-4e8c-aa26-6b62f906f0e0,31e81dbf-b2da-4144-9fdf-49f0fdddf6ba,7cf9abc1-b4c5-4432-9176-942353624ba7,46a00667-ac19-4e10-9a9a-e1d6df3efd12,fb9b1605-6148-438f-9d5b-e8b976e99fd5,69a73fa6-e86b-48df-9aec-91c8f838c783,5adbc794-7ea4-481e-9b50-fb2ef89e4021,65273722-e0aa-4fbd-8b9f-7797a41eb682,b2e1e5fd-3b5a-4b5f-bb7c-14cc5299bb27,d870e477-fd50-4266-957d-9a3e12ac9799,95fe4784-0098-4ca2-be7a-4198722a7d06,074fc242-d5ac-478e-bf84-9d6e782002c5,9940c287-f561-4ec0-ac79-3f6846c99dc0,fba68630-e659-4b04-8741-032dbbce8c05,e67069c9-26b7-4b0b-9300-c006cd969159,d4d1164b-526b-4154-97a5-b916937d19d7,04fafe64-6e6e-46b2-b94e-3d1f0adecc6a,512c7c41-81ce-43a3-8d52-3950b7bfc8c1,8a0e356f-12c9-45c4-b77e-a8a3748e5e85,58d6767d-1f67-441b-b4e1-13c11856f3e9,52db7beb-dabd-4f8e-b3c4-aa24823afa70,244ee6f8-7582-4df6-8a1c-a7720f82c9ad,472a68e0-bd02-4a3d-9385-09b1a42c1aae,887f6123-0b96-42a4-a6fd-6857ba2dc51b,5d4e749e-ca04-455f-b866-bb9b749eb772,fb439645-d31a-49e0-b57a-9df33a05265d,171740ce-b978-407d-9c42-b24bd8be4f42
MALAT1,0.49242076251722555,0.297427652733119,0.4609554432705558,0.17501148369315572,0.541341295360588,0.2119889756545705,0.08876894809370693,0.22347266881028938,0.188562241616904,0.20153881488286632,0.3589802480477722,0.18477262287551677,0.3825218190169959,0.18557648139641708,0.2303628847037207,0.2551676619200735,0.2303628847037207,0.27836472209462565,0.09807073954983923,0.2869774919614148,0.1126550298576022,0.371038125861277,0.18511713367018834,0.3524345429490124,0.29673863114377586,0.4193844740468535,1.2630914101975195,0.11598530087276068,0.2899632521819017,0.09278824069820854,0.24253559944878272,0.2203720716582453,0.23197060174552137,0.20842903077629765,0.5378961874138724,0.1801791456132292,0.3015617822691778,0.13895268718419843,0.2551676619200735,0.20877354157096922,0.05799265043638034,0.19510794671566375,0.04639412034910427,0.4958658704639412,0.24747358750574186,0.31316031235645386,0.13918236104731282,0.09898943500229673
SOX11,175.77818557173987,136.18453951141186,121.47069618075467,104.66005275834385,161.948847344879,118.2538135107237,98.21665328592728,135.84115150820048,75.57242803073747,96.07971097602936,130.65213900676684,66.66349351989908,185.04335359559582,74.86810414038307,83.14428260121574,128.27124670260352,95.86248422984288,116.5671521963528,104.19314141529992,169.64204610620484,87.24544099093933,184.8029590549375,148.7307030622778,166.53951141185917,202.38089230416332,159.39752265168025,186.72255992659709,53.36219749971327,142.73953435026954,71.8291088427572,130.618878311733,105.06090147952747,112.84998279619222,116.23603624268839,69.50372749168483,87.81351072370684,118.70719119165042,73.26918224567038,125.67232480789082,101.79493061130863,99.7192338570937,96.16400963413236,87.1691707764652,184.34040600986353,112.01364835416905,131.68287647666017,88.34029131781168,94.56566119967886
CCDC168,265.3528370446287,194.75370353116557,188.24350135097365,174.1419919873288,269.09768936923507,78.46091493524644,98.43724960402497,272.12852883629927,144.50032609708376,184.31608124475915,100.40799403708189,142.38418894996738,331.36746482810025,81.24606354234604,227.0677350228268,231.56862014348272,175.8690021429237,111.33056927233766,157.85670362433615,256.45825957327867,172.91353768750582,238.779558371378,296.0094102301314,261.7061865275319,268.5604677163887,255.65307928817666,213.06661697568248,104.69495947079102,226.1200503121215,134.5462126152986,229.03545141153452,91.9815522221187,209.88092797912978,185.36993384887728,167.85330289760552,163.2369794092984,108.8783192024597,98.1081244759154,117.37314823441722,88.4163793906643,88.58161744153546,183.81584831827075,247.73595453274947,291.48537221652845,101.98537221652846,209.02739215503587,166.74503866579707,171.21191651914657
XIST,0.12985732814526588,0.3715693904020752,0.11880674448767833,0.19009079118028535,0.17115434500648508,0.11035019455252919,0.13717250324254215,0.26749675745784696,0.07320363164721141,0.12928664072632945,0.13525291828793776,0.020959792477302206,0.17245136186770427,0.07553826199740597,0.34345006485084306,0.23538261997405965,0.08233463035019455,0.14926070038910505,0.09239948119325551,0.3128923476005188,0.0280674448767834,0.1685603112840467,0.11003891050583657,0.17042801556420234,0.10163424124513619,0.1888456549935149,0.30827496757457845,0.11538261997405966,0.08134889753566796,0.13219195849546045,0.25976653696498053,0.07335927367055772,0.08601815823605707,0.11527885862516213,0.3633722438391699,0.1498313878080415,0.11377431906614786,0.052399481193255514,0.23590142671854733,0.2214785992217899,0.09286640726329443,0.07922178988326849,0.020959792477302206,0.14858625162127106,0.157769130998703,0.1421011673151751,0.08337224383916991,0.061841763942931255
SETD1B,40.395846059865605,39.030054978619425,36.9247403787416,56.927550397067805,41.72131948686622,61.47257177764203,37.89627367135003,32.38937080024435,46.254612095296274,62.738912645082465,51.798411728772145,49.90079413561393,43.39315821624923,50.322419059254734,48.68283445326817,24.59156994502138,59.86756261453879,56.032864996945634,51.235308491142334,39.54697617593158,49.4968845448992,43.961026267562616,32.57532070861332,52.226389737324375,35.13842394624313,36.0707391569945,38.95222968845449,63.10213805742212,34.54282223579719,35.311912034208916,21.3505192425168,44.663286499694564,56.09749541844838,24.632254123396457,49.271105681124006,44.65632254123396,59.328405620036655,43.641783750763594,56.891508857666466,52.29016493585828,42.75577275503971,54.19743433109346,55.529260843005495,53.287721441661574,43.92217470983506,34.03017715332926,53.8777031154551,53.97751985339035
