,9ee608a6-975b-4c69-b558-f37b56edd657,415aaa73-1c8b-456b-9288-83975231ff27,24e350d7-8cf2-4bf3-9c71-8a24a6c15fb2,145f036d-6dce-432d-b966-e9dfef2fe42e,5da4b3aa-8df9-458a-969b-b5e290ab39cf,c83428a3-08d8-4665-929a-c3ef3f18c6f1,330fed1d-8a7b-4483-8413-1463a840096f,c0770fc6-0b17-4a9d-87a4-1d0e80efcb9e,342d0342-194a-47c6-916b-bfcd2067e23d,884600f4-73bf-41eb-997e-90bd412cf86e,0e3ebbc4-2f1a-48ca-b56c-516afe3297c2,6b5c5237-5e13-483f-b46b-f05cc7763b1f,c3ec475e-8010-486e-a4e3-af7c083613a6,93e583ea-e4b9-42a8-80a1-c448452cc479,0888cc58-7f72-4448-9375-c07e40b5b269,5bdeef52-fafe-4416-8df4-37f5790aead8,67df23bb-863d-4864-807d-15fa5912252a,cc5dbfd2-e659-4b9f-ab3b-04d5b5cf3540,6b5b668c-db41-4cc0-ae24-eb793c6eeea8,3a1454c4-0dd8-4433-8ce7-d775d824ea0e,809f50ee-cba5-4a90-ad28-df38cc6b8ec7,ffea52b8-a88d-4f11-988d-ffa3fa386f3c,2ebf99e4-0d99-4f57-9a9e-6093f2c8ed6d,cbeadf0f-75e9-4856-a2f8-5a7406ea9318,3cccb497-b82f-4a56-b205-fbf2039f33cd,14ef1088-3bbd-46a7-b945-a0842055eee0,53fe0c95-44d0-4ab8-82c7-660ca1b33825,ab12c5d6-f9b2-492d-9a1a-a237c59eb7af,4efff68b-2ff7-4076-83ea-5e32e29a8725,219d6b20-df3d-48b3-b222-6874047bd793,cd6c9a82-aedb-4651-9fdb-b5ac4747b241,475f1941-2bde-4eba-816c-e9da24bdbb4c,8b0438ab-495b-4737-ad45-0529818d312e,27f417d4-dda0-490a-a300-dcddb5563eaf,5a30d2bd-9cab-44ef-9071-0b34d386a9c0,3c277ebd-a7a3-46e6-a468-50bf96173b53,1360b55e-29fa-41ad-ac96-e7c529a6849e,36187163-3710-44a6-bcb5-7cbb16f016bc,e99cf2f9-4c86-4337-945a-6b0e46e81143,ba59b815-c886-4950-b752-c66089e24256,16de79fb-d97d-40ee-925d-e890131446b1,3bc1ee26-66dc-486d-966d-673ffbafb6e9,ea52d9c9-6bd5-4538-b34f-2fdf152ad88e,74649c2f-03d6-4e5b-add2-ee9efb7eec05,5f3f2338-c62f-4db1-95c0-23d8748d4a90,adc59475-909e-4799-b31a-3dc912055ebb,ef96abb0-da56-4dc3-9d8a-45f4ffb565e9,2cbc745b-2abc-48b6-9838-7ae25ba1472a,cbb9943b-cf5c-4dfe-8ed3-bfb0b6dc1dd9,c15935e6-682a-44f2-8513-3683196e249e,ccef2232-6eff-447b-bd93-92979ac19e26
MALAT1,73.68982544786404,36.19200734956362,60.799839228295816,97.08991731740927,78.67627468994029,52.06694993109784,69.7779053743684,79.89079007808911,44.25608635737253,74.30856683509417,61.494487827285255,78.35117133670188,37.87390904915021,76.6966008268259,56.05087276067984,57.1805236564079,45.26573265962333,44.320165365181445,42.0271015158475,45.15732659623335,42.01469912723932,53.34956361966008,51.477262287551675,46.84037666513551,72.71531924666972,49.423059255856685,59.43557648139642,72.07096922370235,40.84026182820395,57.627583830960035,44.30879650895728,82.65996784565917,44.445452457510335,53.41283876894809,57.21026642168121,63.87379421221865,67.242994947175,53.56499770326137,36.01401010564998,84.1190858980248,77.5670647680294,58.19499310978411,44.17237023426734,98.60898024804777,68.17707854846118,53.287092328892975,97.2459807073955,86.41685806155259,62.20406522737712,50.60335323840147,60.255167661920076
SOX11,62.790687005390524,40.06824177084528,52.11744466108499,94.71694001605688,61.410253469434565,44.18981534579654,56.868448216538596,66.24188553733227,20.40761555224223,60.11744466108499,58.87796765684138,92.51152655121,33.35508659249914,66.72863860534466,58.778529647895404,58.50521848835876,33.617616699162745,40.69342814542952,36.808464273425855,40.35348090377337,41.23718316320679,52.41300607867875,41.844018809496504,52.54559009060672,67.43215965133616,45.45945635967428,49.33272164239018,74.01777726803533,42.06571854570478,51.15586649845166,39.894139236150934,81.67450395687578,39.60637687808235,44.168826700309666,55.46874641587338,57.99644454639294,55.651221470352105,47.66796650992086,50.02488817524946,70.53320334900792,57.11492143594449,47.94081890125015,38.638834728753295,77.26883816951485,62.40279848606492,46.96731276522537,53.01984172496846,74.84447757770387,58.85927285239133,53.92969377222158,49.49925450166303
CCDC168,42.4077611105935,44.550871145066615,33.25365694586788,72.75850181682661,70.59163328053667,38.58049939439113,48.37044628715177,82.08441255939626,31.396860150936366,58.66984999534147,40.72510015839001,34.81845709494084,38.39238796235908,55.261110593496696,44.08925743035498,51.06433429609615,32.52389825770987,32.648374173110966,25.18023851672412,21.996739029162395,45.2835181216808,38.94549520171434,24.311050032609707,51.773083015000466,32.746436224727475,36.20940091307183,41.076865741172085,72.07025062890152,34.94563495760738,49.19645020031678,33.49473586136215,55.40678281934222,25.30350321438554,47.07812354420945,42.837603652287335,48.12084226218206,38.94493617814218,26.340724867231902,43.699757756452065,76.79153079288177,55.521009969253704,34.0558091866207,32.05352650703438,75.43561911860617,38.72309699058977,39.64557905525016,68.51686387776017,44.207257989378554,52.53521848504612,33.30238516724122,50.528929469859314
XIST,54.15616083009079,29.443579766536963,34.50785992217899,129.68295719844357,43.3369130998703,60.362230869001294,77.30677042801557,44.3810635538262,25.702204928664074,75.91984435797666,426.1192217898833,90.85966277561609,23.18609597924773,47.4990402075227,45.480726329442284,41.46998702983139,57.045706874189364,28.58059662775616,26.234241245136186,55.23522697795072,71.67444876783398,37.905940337224386,20.33779507133593,32.22817120622568,107.06801556420234,44.35444876783398,73.16311284046692,43.44300907911803,33.63009079118029,62.7725551232166,27.802230869001296,104.88010376134889,55.89094682230869,59.06656290531777,43.852088197146564,76.32306095979247,81.00316472114137,66.07740596627757,36.88083009079118,41.68119325551232,44.62396887159533,37.556472114137485,53.91247730220493,51.2230869001297,81.82780804150454,64.8083009079118,98.94822308690013,49.69374837872893,66.13603112840467,67.59559014267185,60.2442542153048
SETD1B,24.0895540623091,19.97849725106903,27.21710445937691,49.49260843005498,30.775076359193648,22.035186316432497,26.587782529016494,40.51166768478925,11.151374465485645,35.98350641417227,29.579841172877213,19.948075748320097,17.591692119731217,34.125595601710444,36.297617593158215,26.94697617593158,14.220891875381795,19.762248014660965,20.142700061087353,20.183995113011605,21.278924862553453,27.3341478313989,25.72278558338424,22.723640806353085,38.70653634697618,21.397556505803298,25.514477703115457,36.73231521075137,24.86182040317654,20.47623701893708,19.86988393402566,44.272205253512524,18.094196701282833,17.756627978008552,31.14086744043983,18.06035430665852,27.11411117898595,31.70397067806964,14.125595601710446,35.59499083689676,29.82296884544899,23.52645082467929,18.641172877214416,47.011240073304826,22.14013439218082,21.289065363469764,40.97898594990837,31.96640195479536,32.83225412339646,19.08906536346976,24.80745265729994
